2022-03-04

Set 1 : 180x2

Set 2 : 180x2

Set 3 : 180x2

Set 4 : 180x2

Set 5 : 180x1


1RM: 192

2022-02-28

Set 1 : 180x2

Set 2 : 180x2

Set 3 : 180x0


1RM: 192

2022-02-13

Set 1 : 185x2

Set 2 : 180x3

Set 3 : 182.5x2

Set 4 : 180x2

Set 5 : 180x3


1RM: 198

2022-02-07

Set 1 : 185x3

Set 2 : 185x3

Set 3 : 185x3

Set 4 : 185x3

Set 5 : 185x2


1RM: 203.5

2022-02-01

Set 1 : 185x3

Set 2 : 185x3

Set 3 : 185x3

Set 4 : 185x3

Set 5 : 185x3


1RM: 203.5

2022-01-25

Set 1 : 185x3

Set 2 : 185x2

Set 3 : 185x3

Set 4 : 185x3

Set 5 : 185x3


1RM: 203.5

2022-01-22

Set 1 : 150x3

Set 2 : 150x2


1RM: 165

2022-01-18

Set 1 : 182.5x3

Set 2 : 182.5x3

Set 3 : 182.5x3

Set 4 : 185x3

Set 5 : 185x3


1RM: 203.5

2022-01-16

Set 1 : 150x1


1RM: 150

2022-01-12

Set 1 : 182.5x3

Set 2 : 182.5x3

Set 3 : 182.5x3

Set 4 : 182.5x3

Set 5 : 182.5x3


1RM: 200.75

2022-01-10

Set 1 : 140x5

Set 2 : 160x3

Set 3 : 150x6

Set 4 : 150x6


1RM: 180

2022-01-05

Set 1 : 182.5x3

Set 2 : 182.5x3

Set 3 : 182.5x3

Set 4 : 182.5x3

Set 5 : 182.5x3


1RM: 200.75

2021-12-29

Set 1 : 180x3

Set 2 : 180x3

Set 3 : 180x3

Set 4 : 180x2

Set 5 : 180x3


1RM: 198

2021-12-22

Set 1 : 182.5x3

Set 2 : 182.5x3

Set 3 : 182.5x3

Set 4 : 182.5x3

Set 5 : 182.5x3


1RM: 200.75

2021-12-14

Set 1 : 180x3

Set 2 : 180x4

Set 3 : 180x3

Set 4 : 180x3

Set 5 : 180x3


1RM: 204

2021-12-08

Set 1 : 180x3

Set 2 : 180x4

Set 3 : 180x3

Set 4 : 180x4

Set 5 : 180x3


1RM: 204

2021-12-01

Set 1 : 180x3

Set 2 : 180x3

Set 3 : 180x3

Set 4 : 180x3

Set 5 : 180x3


1RM: 198

2021-11-25

Set 1 : 180x3

Set 2 : 180x3

Set 3 : 180x3

Set 4 : 180x3

Set 5 : 180x1


1RM: 198

2021-11-19

Set 1 : 180x3

Set 2 : 180x3

Set 3 : 180x3

Set 4 : 180x3

Set 5 : 180x3

Set 6 : 140x5


1RM: 198

2021-11-11

Set 1 : 180x4

Set 2 : 180x4

Set 3 : 180x2

Set 4 : 180x2

Set 5 : 180x1


1RM: 204

2021-11-04

Set 1 : 175x2

Set 2 : 170x3

Set 3 : 170x3

Set 4 : 170x3

Set 5 : 170x3

Set 6 : 170x3

Set 7 : 160x4

Set 8 : 160x3


1RM: 187

2021-10-28

Set 1 : 175x4

Set 2 : 175x4

Set 3 : 175x3

Set 4 : 175x3

Set 5 : 175x3


1RM: 198.33

2021-10-20

Set 1 : 175x4

Set 2 : 175x4

Set 3 : 175x4

Set 4 : 175x3

Set 5 : 175x3


1RM: 198.33

2021-10-13

Set 1 : 175x4

Set 2 : 175x4

Set 3 : 175x3

Set 4 : 175x3

Set 5 : 175x2


1RM: 198.33

2021-10-07

Set 1 : 172.5x4

Set 2 : 172.5x4

Set 3 : 172.5x3

Set 4 : 172.5x3

Set 5 : 172.5x3


1RM: 195.5

2021-09-30

Set 1 : 172.5x4

Set 2 : 172.5x4

Set 3 : 172.5x4

Set 4 : 172.5x3

Set 5 : 172.5x3


1RM: 195.5

2021-09-30

Set 1 : 172.5x4


1RM: 195.5

2021-09-23

Set 1 : 172.5x4

Set 2 : 172.5x4

Set 3 : 172.5x4

Set 4 : 172.5x2

Set 5 : 172.5x3

Set 6 : 172.5x3


1RM: 195.5

2021-09-16

Set 1 : 172.5x5

Set 2 : 172.5x4

Set 3 : 172.5x4

Set 4 : 172.5x4

